name,company,year,Price,kms_driven,fuel_type,transmission
MARUTI SUZUKI SWIFT VXI 1.2 ABS BS IV,MARUTI,2017,"3,20,000",30874 kms,Petrol,Automatic
MARUTI SUZUKI WAGON R LX BS IV,MARUTI,2013,"1,85,000",29685 kms,Petrol,Automatic
HYUNDAI EON,HYUNDAI,2013,"2,90,000",25000 kms,Petrol,Automatic
FORD ECOSPORT AMBIENTE 1.5L TDCI,FORD,2016,"9,30,000",24530 kms,Diesel,Automatic
MAHINDRA SCORPIO SLE BS IV,MAHINDRA,2012,"6,70,000",19000 kms,Diesel,Automatic
SKODA FABIA CLASSIC 1.2 MPI,SKODA,2010,"2,82,000",60000 kms,Petrol,Automatic
I WANT TO SELL MY CAR TATA ZEST,I,2017,Ask For Price,,,Automatic
RENAULT DUSTER 110PS DIESEL RXZ,RENAULT,2012,"6,01,000",35000 kms,Diesel,Automatic
MINI COOPER S 1.6,MINI,2013,"19,91,111",13000 kms,Petrol,Automatic
SKODA FABIA 1.2L DIESEL AMBIENTE,SKODA,2011,"2,59,500",38200 kms,Diesel,Automatic
HONDA AMAZE,HONDA,2015,"4,44,999",22000 kms,Petrol,Automatic
MINI COOPER S 1.6,MINI,2013,"19,91,111",13500 kms,Petrol,Automatic
MAHINDRA SCORPIO VLX 2WD BS IV,MAHINDRA,2014,"7,99,000",50000 kms,Diesel,Automatic
FORD ECOSPORT,FORD,2017,"5,89,999",39000 kms,Petrol,Automatic
I WANT TO SELL MY CAR TATA ZEST,I,2017,Ask For Price,,,Automatic
HYUNDAI I20 MAGNA,HYUNDAI,2009,"2,95,000",32000 kms,Petrol,Automatic
HYUNDAI VERNA TRANSFORM SX VTVT,HYUNDAI,2008,"2,60,000",45000 kms,Petrol,Automatic
HONDA CITY 1.5 EXI NEW,HONDA,2005,"1,90,000",50000 kms,Petrol,Automatic
SKODA FABIA 1.2L DIESEL ELEGANCE,SKODA,2011,"2,55,000",45863 kms,Diesel,Automatic
MARUTI SUZUKI A STAR LXI,MARUTI,2011,"2,89,500",12500 kms,Petrol,Automatic
FORD FIGO DIESEL EXI OPTION,FORD,2012,"3,10,000",35000 kms,Diesel,Automatic
CHEVROLET BEAT LT DIESEL,CHEVROLET,2012,"2,35,000",45000 kms,Diesel,Automatic
MAHINDRA XUV500 W8 AWD 2013,MAHINDRA,2013,"8,01,000",38000 kms,Diesel,Automatic
HYUNDAI VERNA FLUIDIC NEW,HYUNDAI,2015,"6,25,000",35000 kms,Diesel,Automatic
MARUTI SUZUKI ERTIGA ZXI PLUS,MARUTI,2016,"7,35,000",29000 kms,Petrol,Automatic
MARUTI SUZUKI ERTIGA VXI,MARUTI,2016,"6,75,000",29000 kms,Petrol,Automatic
MARUTI SUZUKI ALTO LXI BS III,MARUTI,2012,"2,55,000",14000 kms,Petrol,Automatic
HONDA AMAZE 1.2 S I VTEC,HONDA,2014,"4,25,000",42000 kms,Petrol,Automatic
FORD FIGO DIESEL EXI,FORD,2014,"2,95,000",50000 kms,Diesel,Automatic
MARUTI SUZUKI ERTIGA ZXI,MARUTI,2014,"6,69,999",45000 kms,Petrol,Automatic
MARUTI SUZUKI RITZ VXI,MARUTI,2014,"3,99,999",19000 kms,Petrol,Automatic
MARUTI SUZUKI RITZ LDI,MARUTI,2013,"4,99,999",33000 kms,Diesel,Automatic
MARUTI SUZUKI DZIRE VDI,MARUTI,2015,"5,50,000",104000 kms,Diesel,Automatic
HYUNDAI I20 SPORTZ 1.4 CRDI,HYUNDAI,2011,"4,50,000",33333 kms,Diesel,Automatic
MARUTI SUZUKI ALTO K10 VXI AMT,MARUTI,2017,"4,50,000",5600 kms,Petrol,Automatic
MARUTI SUZUKI SWIFT,MARUTI,2007,"2,25,000",70000 kms,Petrol,Automatic
HONDA AMAZE 1.5 S I DTEC,HONDA,2013,"3,99,000",45000 kms,Diesel,Automatic
CHEVROLET BEAT,CHEVROLET,2015,"2,50,000",30000 kms,Petrol,Automatic
HONDA CITY 1.5 V MT,HONDA,2010,"3,85,000",35000 kms,Petrol,Automatic
HYUNDAI I20 ASTA 1.2,HYUNDAI,2009,"3,10,000",65480 kms,Petrol,Automatic
TATA INDICA V2 ELS,TATA,2006,"1,90,000",20000 kms,Petrol,Automatic
HINDUSTAN MOTORS AMBASSADOR,HINDUSTAN,2000,"1,70,000",200000 kms,Diesel,Automatic
TOYOTA COROLLA ALTIS 1.8 J,TOYOTA,2012,"4,49,999",59000 kms,Petrol,Automatic
VOLKSWAGEN JETTA HIGHLINE TDI AT,VOLKSWAGEN,2014,"8,49,999",46000 kms,Diesel,Automatic
VOLKSWAGEN POLO,VOLKSWAGEN,2014,"3,74,999",32000 kms,Petrol,Automatic
RENAULT DUSTER,RENAULT,2014,"5,49,999",50000 kms,Diesel,Automatic
NISSAN SUNNY,NISSAN,2012,"3,24,999",45000 kms,Petrol,Automatic
RENAULT KWID,RENAULT,2016,"3,44,999",11000 kms,Petrol,Automatic
FORD ECOSPORT,FORD,2017,"5,89,999",39000 kms,Petrol,Automatic
MAHINDRA SCORPIO VLX AIRBAG,MAHINDRA,2011,"5,99,999",66000 kms,Diesel,Automatic
CHEVROLET SPARK LT 1.0,CHEVROLET,2010,"1,85,000",45000 kms,Petrol,Automatic
MARUTI SUZUKI SWIFT RS VDI,MARUTI,2010,"2,89,500",38500 kms,Diesel,Automatic
MARUTI SUZUKI SWIFT RS VDI,MARUTI,2010,"2,59,500",43200 kms,Diesel,Automatic
HYUNDAI I20 SPORTZ 1.4 CRDI,HYUNDAI,2014,"4,70,000",60000 kms,Diesel,Automatic
CHEVROLET BEAT LT OPT DIESEL,CHEVROLET,2011,"2,50,000",40000 kms,Diesel,Automatic
CHEVROLET BEAT LT DIESEL,CHEVROLET,2012,"1,98,500",38000 kms,Diesel,Automatic
TATA INDIGO CS,TATA,2011,"1,85,000",11400 kms,Diesel,Automatic
HONDA CITY 1.5 V MT,HONDA,2014,"6,49,000",39000 kms,Petrol,Automatic
HYUNDAI EON ERA PLUS,HYUNDAI,2013,"2,85,000",27000 kms,Petrol,Automatic
MAHINDRA XUV500,MAHINDRA,2014,"7,99,999",52000 kms,Diesel,Automatic
FORD FIESTA,FORD,2011,"3,74,999",55000 kms,Diesel,Automatic
HONDA CITY,HONDA,2015,"6,99,999",30000 kms,Diesel,Automatic
HONDA CITY,HONDA,2014,"6,44,999",45000 kms,Diesel,Automatic
TATA INDIGO ECS LX TDI BS III,TATA,2016,"4,20,000",175430 kms,Diesel,Automatic
COMMERCIAL  DZIRE LDI 2016 FOR SALE,COMMERCIAL,...,Ask For Price,,,Automatic
FIAT PETRA ELX 1.2 PS,FIAT,2008,"1,75,000",65000 kms,Petrol,Automatic
MINI COOPER S 1.6,MINI,2013,"19,91,111",13000 kms,Petrol,Automatic
MARUTI SUZUKI CIAZ VXI PLUS,MARUTI,2016,"8,00,000",3350 kms,Petrol,Automatic
HONDA CITY,HONDA,2015,"5,48,999",54000 kms,Petrol,Automatic
TATA INDIGO ECS LX 201,TATA,150k,"2,50,000",,,Automatic
MAHINDRA SCORPIO SLE BS IV,MAHINDRA,2012,"6,65,000",62000 kms,Diesel,Automatic
MARUTI SUZUKI ALTO K10 VXI AMT,MARUTI,2011,"2,45,000",41000 kms,Petrol,Automatic
TATA NANO CX BSIV,TATA,2013,"1,40,000",2200 kms,Petrol,Automatic
MARUTI SUZUKI WAGON R LXI BS III,MARUTI,2009,"2,35,000",45000 kms,Petrol,Automatic
TATA SUMO VICTA EX 10 BY 7 STR BSIII,TATA,2012,"3,85,000",65000 kms,Diesel,Automatic
MARUTI SUZUKI WAGON R LXI BS III,MARUTI,2010,"2,45,000",54870 kms,Petrol,Automatic
VOLKSWAGEN PASSAT DIESEL COMFORTLINE AT,VOLKSWAGEN,2009,"5,50,000",97000 kms,Diesel,Automatic
MAHINDRA QUANTO C8,MAHINDRA,2013,"4,75,000",20000 kms,Diesel,Automatic
HYUNDAI I20 ACTIVE 1.2 SX,HYUNDAI,2015,"6,00,000",18000 kms,Petrol,Automatic
MAHINDRA JEEP MM 550 XDB,MAHINDRA,2019,"4,90,000",60 kms,Diesel,Automatic
MAHINDRA BOLERO SLE BS IV,MAHINDRA,2013,"4,30,000",80200 kms,Diesel,Automatic
MARUTI SUZUKI SX4,MARUTI,2012,"3,65,000",46000 kms,Diesel,Automatic
MARUTI SUZUKI ALTO 800,MARUTI,2015,"3,19,000",5000 kms,Petrol,Automatic
TOYOTA ETIOS,TOYOTA,2011,"3,75,000",36000 kms,Diesel,Automatic
HONDA CITY ZX VTEC,HONDA,2008,"2,10,000",45000 kms,Petrol,Automatic
HONDA CITY VX O MT DIESEL,HONDA,2016,"6,19,000",52000 kms,Diesel,Automatic
MITSUBISHI PAJERO SPORT LIMITED EDITION,MITSUBISHI,2015,"15,75,000",47000 kms,Diesel,Automatic
MERCEDES BENZ GLA CLASS 200 CDI SPORT,MERCEDES,2015,"21,00,000",20000 kms,Diesel,Automatic
RENAULT KWID RXT,RENAULT,2017,"4,40,000",5000 kms,Petrol,Automatic
MERCEDES BENZ B CLASS B180 SPORTS,MERCEDES,2014,"14,00,000",31000 kms,Petrol,Automatic
TATA INDIGO ECS LX TDI BS III,TATA,2016,"4,20,000",175430 kms,Diesel,Automatic
HONDA JAZZ VX MT,HONDA,2016,"5,50,000",41000 kms,Petrol,Automatic
HONDA AMAZE,HONDA,2013,"3,84,999",46000 kms,Diesel,Automatic
HONDA CITY,HONDA,2015,"6,99,999",39000 kms,Diesel,Automatic
AUDI A4 1.8 TFSI MULTITRONIC PREMIUM PLUS,AUDI,2009,"7,99,000",47000 kms,Petrol,Automatic
MAHINDRA SCORPIO S4,MAHINDRA,2015,"9,55,000",30000 kms,Diesel,Automatic
MINI COOPER S,MINI,2013,"19,91,111",13000 kms,Petrol,Automatic
CHEVROLET TAVERA NEO,CHEVROLET,2013,"4,75,000",55000 kms,Diesel,Automatic
HYUNDAI EON SPORTZ,HYUNDAI,2012,"2,78,000",30000 kms,Petrol,Automatic
MARUTI SUZUKI WAGON R 1.0,MARUTI,2003,"1,90,000",45000 kms,Petrol,Automatic
MARUTI SUZUKI EECO 5 STR WITH AC HTR,MARUTI,2015,"3,55,000",9300 kms,Petrol,Automatic
HYUNDAI I20 ASTA 1.4 CRDI 6 SPEED,HYUNDAI,2012,"4,29,500",36200 kms,Diesel,Automatic
MARUTI SUZUKI EECO 5 STR WITH AC HTR,MARUTI,2015,"3,51,111",55000 kms,Petrol,Automatic
MARUTI SUZUKI ESTEEM LXI BS III,MARUTI,2007,"1,69,999",51000 kms,Petrol,Automatic
MARUTI SUZUKI DZIRE,MARUTI,2009,"3,20,000",46000 kms,Petrol,Automatic
MARUTI SUZUKI SX4 ZXI MT,MARUTI,2010,"3,49,999",36000 kms,Petrol,Automatic
MINI COOPER S 1.6,MINI,2013,"18,91,111",13500 kms,Petrol,Automatic
RENAULT DUSTER 85 PS RXE DIESEL,RENAULT,2013,"5,89,999",27000 kms,Diesel,Automatic
RENAULT DUSTER 85 PS RXL DIESEL,RENAULT,2015,"6,49,999",19000 kms,Diesel,Automatic
RENAULT KWID RXT OPT,RENAULT,2018,"4,25,000",15000 kms,Petrol,Automatic
RENAULT KWID 1.0 RXT AMT,RENAULT,2018,"4,49,999",10000 kms,Petrol,Automatic
RENAULT SCALA RXL DIESEL,RENAULT,2014,"4,49,999",49000 kms,Diesel,Automatic
MARUTI SUZUKI SWIFT DZIRE VXI 1.2 BS IV,MARUTI,2011,"3,25,000",45000 kms,Petrol,Automatic
TATA INDIGO ECS LX TDI BS III,TATA,2016,"4,20,000",175430 kms,Diesel,Automatic
HYUNDAI FLUIDIC VERNA 1.6 CRDI SX,HYUNDAI,2015,"6,40,000",38000 kms,Diesel,Automatic
CHEVROLET BEAT LS PETROL,CHEVROLET,2010,"1,80,000",56000 kms,Petrol,Automatic
FIAT PETRA ELX 1.2 PS,FIAT,2008,"1,75,000",65000 kms,Petrol,Automatic
SKODA FABIA 1.2L DIESEL AMBIENTE,SKODA,2011,"2,59,500",38200 kms,Diesel,Automatic
HYUNDAI ACCENT GLX,HYUNDAI,2006,"1,80,000",56000 kms,Petrol,Automatic
MARUTI SUZUKI SWIFT LDI,MARUTI,2010,Ask For Price,52000 kms,Diesel,Automatic
MINI COOPER S 1.6,MINI,2013,"18,91,111",13000 kms,Petrol,Automatic
TATA INDICA V2 XETA E GLE,TATA,2008,"2,50,000",11000 kms,Petrol,Automatic
TATA INDIGO CS LS DICOR,TATA,2009,"1,72,500",46000 kms,Diesel,Automatic
MAHINDRA SCORPIO VLX SPECIAL EDITION BS III,MAHINDRA,2004,"3,30,000",160000 kms,Diesel,Automatic
HONDA ACCORD,HONDA,2009,"2,75,000",58559 kms,Petrol,Automatic
CHEVROLET TAVERA NEO,CHEVROLET,2013,"4,75,000",55000 kms,Diesel,Automatic
MARUTI SUZUKI ERTIGA,MARUTI,2015,"6,24,999",50000 kms,Diesel,Automatic
MARUTI SUZUKI DZIRE,MARUTI,2012,"3,99,999",40000 kms,Petrol,Automatic
MAHINDRA SCORPIO 2.6 CRDE,MAHINDRA,2007,"3,20,000",170000 kms,Diesel,Automatic
HONDA CITY,HONDA,2015,"7,44,999",39000 kms,Petrol,Automatic
TOYOTA COROLLA ALTIS,TOYOTA,2009,"2,99,999",65000 kms,Petrol,Automatic
SKODA LAURA,SKODA,2012,"4,49,999",44000 kms,Diesel,Automatic
MARUTI SUZUKI ERTIGA,MARUTI,2018,"8,99,999",9000 kms,Diesel,Automatic
MAHINDRA XUV500,MAHINDRA,2014,"7,49,999",47000 kms,Diesel,Automatic
MARUTI SUZUKI VITARA BREZZA,MARUTI,2016,"7,89,999",29000 kms,Diesel,Automatic
MAHINDRA SCORPIO,MAHINDRA,2015,"10,44,999",45000 kms,Diesel,Automatic
MAHINDRA XUV500,MAHINDRA,2013,"7,89,999",80000 kms,Diesel,Automatic
SKODA LAURA,SKODA,2013,"4,74,999",50000 kms,Diesel,Automatic
HYUNDAI ELITE I20,HYUNDAI,2016,"6,49,999",9000 kms,Petrol,Automatic
CHEVROLET SAIL UVA PETROL LT ABS,CHEVROLET,2013,"3,10,000",60000 kms,Petrol,Automatic
HYUNDAI VERNA FLUIDIC 1.6 VTVT SX,HYUNDAI,2013,"5,01,000",45000 kms,Diesel,Automatic
HYUNDAI ELANTRA SX,HYUNDAI,2013,"7,00,000",20000 kms,Petrol,Automatic
MAHINDRA KUV100 K8 D 6 STR,MAHINDRA,2016,"5,00,000",20000 kms,Diesel,Automatic
MAHINDRA QUANTO C8,MAHINDRA,2013,"4,75,000",20000 kms,Diesel,Automatic
HYUNDAI I20 ACTIVE 1.2 SX,HYUNDAI,2015,"6,00,000",18000 kms,Petrol,Automatic
HYUNDAI GRAND I10,HYUNDAI,2017,"6,24,999",6821 kms,Petrol,Automatic
HYUNDAI EON,HYUNDAI,2014,"2,74,999",14000 kms,Petrol,Automatic
HYUNDAI I20 ACTIVE,HYUNDAI,2015,"6,74,999",35000 kms,Diesel,Automatic
TOYOTA ETIOS LIVA,TOYOTA,2011,"3,39,999",41000 kms,Petrol,Automatic
HYUNDAI VERNA,HYUNDAI,2014,"5,89,999",44000 kms,Diesel,Automatic
TOYOTA FORTUNER,TOYOTA,2011,"11,74,999",52000 kms,Diesel,Automatic
MAHINDRA BOLERO POWER PLUS SLE,MAHINDRA,2018,"7,99,000",1800 kms,Diesel,Automatic
MAHINDRA XUV500,MAHINDRA,2015,"11,00,000",15000 kms,Diesel,Automatic
CHEVROLET SPARK LT 1.0 AIRBAG,CHEVROLET,2009,"2,10,000",44000 kms,Petrol,Automatic
RENAULT DUSTER 110PS DIESEL RXZ,RENAULT,2012,"6,01,000",35000 kms,Diesel,Automatic
TATA INDIGO ECS VX CR4 BS IV,TATA,2014,"1,50,000",40000 kms,Diesel,Automatic
MAHINDRA BOLERO SLE BS IV,MAHINDRA,2013,"4,30,000",80200 kms,Diesel,Automatic
SKODA RAPID ELEGANCE 1.6 TDI CR MT,SKODA,2013,"4,40,000",48000 kms,Diesel,Automatic
MARUTI SUZUKI ALTO K10 VXI AT,MARUTI,2015,"3,65,000",12000 kms,Petrol,Automatic
MARUTI SUZUKI ZEN LXI BS III,MARUTI,2003,"1,85,000",69900 kms,Petrol,Automatic
HYUNDAI I10 MAGNA 1.2,HYUNDAI,2011,"2,75,000",45000 kms,Petrol,Automatic
MARUTI SUZUKI SWIFT DZIRE TOUR LDI,MARUTI,2016,"4,50,000",166000 kms,Diesel,Automatic
MAHINDRA JEEP CL550 MDI,MAHINDRA,2018,"4,85,000",588 kms,Diesel,Automatic
CHEVROLET BEAT DIESEL,CHEVROLET,2017,"2,50,000",62000 kms,Diesel,Automatic
MARUTI SUZUKI SWIFT DZIRE CAR,MARUTI,sale,"4,00,000",,,Automatic
TOYOTA INNOVA 2.5 E MS 7 STR BS IV,TOYOTA,2012,"8,70,000",0 kms,Diesel,Automatic
MARUTI SUZUKI MARUTI 800 STD � BEFO,MARUTI,1995,"1,30,000",55000 kms,Petrol,Automatic
VOLKSWAGEN POLO,VOLKSWAGEN,2015,"4,30,000",38000 kms,Diesel,Automatic
HYUNDAI ELITE I20 ASTA 1.4 CRDI,HYUNDAI,2015,"5,50,000",20000 kms,Diesel,Automatic
MARUTI SUZUKI SWIFT DZIRE TOUR (GAT,MARUTI,ara),"4,00,000",,,Automatic
TATA INDIGO LX TDI BS III,TATA,2016,"2,30,000",104000 kms,Diesel,Automatic
MERCEDES BENZ C CLASS 200 CDI CLASSIC,MERCEDES,2002,"4,99,000",41000 kms,Petrol,Automatic
URJE,URJENT,SELL,"2,80,000",,,Automatic
HYUNDAI SANTRO XING GLS,HYUNDAI,2006,"1,75,000",46000 kms,Petrol,Automatic
HYUNDAI SONATA TRANSFORM 2.4 GDI MT,HYUNDAI,2017,"2,90,000",36469 kms,Diesel,Automatic
VOLKSWAGEN VENTO KONEKT DIESEL HIGHLINE,VOLKSWAGEN,2011,"3,45,000",65000 kms,Diesel,Automatic
MARUTI SUZUKI ALTO LXI BS III,MARUTI,2011,"2,55,000",32000 kms,Petrol,Automatic
HYUNDAI GRAND I10 SPORTZ 1.2 KAPPA VTVT,HYUNDAI,2017,"5,50,000",15141 kms,Petrol,Automatic
MAHINDRA SCORPIO W TURBO 2.6DX 9 SEATER,MAHINDRA,2012,"2,65,000",65000 kms,Diesel,Automatic
MARUTI SUZUKI ALTO K10 VXI,MARUTI,2014,"3,70,000",22000 kms,Petrol,Automatic
MAHINDRA XUV500 W8,MAHINDRA,2012,"46,60,000",100000 kms,Diesel,Automatic
HYUNDAI I20 MAGNA O 1.2,HYUNDAI,2013,"4,10,000",35000 kms,Petrol,Automatic
HYUNDAI GRAND I10 SPORTZ 1.2 KAPPA VTVT,HYUNDAI,2014,"4,40,000",35000 kms,Petrol,Automatic
MAHINDRA TUV300 T4 PLUS,MAHINDRA,2017,"7,10,000",68000 kms,Diesel,Automatic
MAHINDRA TUV300 T8,MAHINDRA,2018,"11,00,000",4500 kms,Diesel,Automatic
NISSAN X TRAIL SELECT VARIANT,NISSAN,2019,"12,00,000",300 kms,Diesel,Automatic
FORD IKON 1.3 CLXI NXT FINESSE,FORD,2001,"1,45,000",65000 kms,Petrol,Automatic
TATA MANZA ELAN QUADRAJET,TATA,2010,"2,55,555",111111 kms,Petrol,Automatic
MAHINDRA XYL,MAHINDRA,2 bs,"4,50,000",,,Automatic
CHEVROLET BEAT LS DIESEL,CHEVROLET,2016,"3,10,000",22000 kms,Diesel,Automatic
TATA INDIGO LS,TATA,2016,"2,25,000",70000 kms,Diesel,Automatic
VOLKSWAGEN VENTO HIGHLINE PLUS 1.5 DIESEL AT,VOLKSWAGEN,2015,"6,50,000",34000 kms,Diesel,Automatic
USED COMMERCIAL MARUTI OMN,USED,arry,"2,50,000",,,Automatic
HONDA AMAZE 1.5 E I DTEC,HONDA,2016,"3,40,000",160000 kms,Diesel,Automatic
BMW 5 SERIES 520D SEDAN,BMW,2011,"12,99,000",49000 kms,Diesel,Automatic
AUDI Q3 2.0 TDI QUATTRO PREMIUM,AUDI,2013,"14,99,000",37000 kms,Diesel,Automatic
MARUTI SUZUKI ZEN ESTILO LXI GREEN PETROL + CNG,MARUTI,2011,Ask For Price,16000 kms,Petrol,Automatic
FORD FIGO DURATORQ DIESEL TITANIUM 1.4,FORD,2012,"3,50,000",99000 kms,Diesel,Automatic
MAHINDRA LOGAN DIESEL 1.5 DLS,MAHINDRA,2009,"2,30,000",66000 kms,Petrol,Automatic
MAHINDRA TUV300 T4 PLUS,MAHINDRA,2016,"6,40,000",35000 kms,Diesel,Automatic
HYUNDAI ELITE I20 MAGNA 1.2,HYUNDAI,2015,"5,05,000",28000 kms,Petrol,Automatic
HONDA CITY SV,HONDA,2017,"7,60,000",4000 kms,Petrol,Automatic
FORD FIGO PETROL LXI,FORD,2011,"2,75,000",75000 kms,Petrol,Automatic
HONDA CITY,HONDA,2017,"8,50,000",3000 kms,Petrol,Automatic
MARUTI SUZUKI VERSA DX2 8 SEATER BSIII,MARUTI,2004,"1,90,000",50000 kms,Petrol,Automatic
MITSUBISHI PAJERO SPORT LIMITED EDITION,MITSUBISHI,2015,"15,40,000",43222 kms,Petrol,Automatic
TOYOTA COROLLA H2,TOYOTA,2003,"2,50,000",100000 kms,Petrol,Automatic
TATA INDIGO CS ELS BS IV,TATA,2015,"2,23,000",100000 kms,Diesel,Automatic
MAHINDRA SCORPIO S10,MAHINDRA,2015,"9,00,000",97200 kms,Diesel,Automatic
HONDA CITY,HONDA,2015,"5,99,999",55000 kms,Petrol,Automatic
MARUTI SUZUKI BALENO DELTA 1.2,MARUTI,2016,"5,98,000",22000 kms,Petrol,Automatic
MARUTI SUZUKI DZIRE LDI,MARUTI,2017,"5,88,000",80000 kms,Diesel,Automatic
TOYOTA COROLLA ALTIS GL PETROL,TOYOTA,2010,"3,20,000",58000 kms,Petrol,Automatic
TOYOTA FORTUNER 3.0 4X2 MT,TOYOTA,2015,"15,25,000",120000 kms,Diesel,Automatic
TATA TIGOR REVOTRON XZ,TATA,2019,"7,50,000",100 kms,Diesel,Automatic
MARUTI SUZUKI ERTIGA VXI,MARUTI,2015,"6,50,000",75000 kms,Petrol,Automatic
HONDA MOBILIO S I DTEC,HONDA,2014,"4,99,000",44000 kms,Diesel,Automatic
MARUTI SUZUKI VITARA BREZZA,MARUTI,2017,"8,25,000",36000 kms,Diesel,Automatic
MARUTI SUZUKI SWIFT VXI BSIII,MARUTI,2007,"2,30,000",62000 kms,Petrol,Automatic
MARUTI SUZUKI OMNI SELECT VARIANT,MARUTI,2014,"2,90,000",6020 kms,Petrol,Automatic
TATA INDICA,TATA,2005,"1,80,000",42000 kms,Petrol,Automatic
MARUTI SUZUKI ZEN ESTILO,MARUTI,2010,"2,49,000",35000 kms,Petrol,Automatic
MARUTI SUZUKI WAGON R,MARUTI,2007,"2,20,000",7000 kms,Petrol,Automatic
HYUNDAI XCENT BASE 1.1 CRDI,HYUNDAI,2015,Ask For Price,180000 kms,Diesel,Automatic
MARUTI SUZUKI ZEN ESTILO LXI GREEN PETROL + CNG,MARUTI,2008,"2,35,000",23000 kms,Petrol,Automatic
MARUTI SUZUKI ALTO LXI BS III,MARUTI,2010,"1,99,000",22134 kms,Petrol,Automatic
TATA NANO LX BSIV,TATA,2010,"1,52,000",9000 kms,Petrol,Automatic
HYUNDAI XCENT S 1.2,HYUNDAI,2015,Ask For Price,35000 kms,Petrol,Automatic
HONDA CITY 1.5 S MT,HONDA,2014,"5,99,000",22000 kms,Petrol,Automatic
MARUTI SUZUKI RITZ GENUS VXI,MARUTI,2010,"2,49,000",40000 kms,Petrol,Automatic
HYUNDAI EON D LITE PLUS,HYUNDAI,2016,"2,20,000",87000 kms,Petrol,Automatic
MARUTI SUZUKI WAGON R VXI BS IV,MARUTI,2017,"4,75,000",23000 kms,Petrol,Automatic
MARUTI SUZUKI ESTILO VXI ABS BS IV,MARUTI,2013,"2,80,000",65000 kms,Petrol,Automatic
MARUTI SUZUKI EECO 5 STR WITH AC HTR,MARUTI,2015,"3,78,000",39000 kms,Petrol,Automatic
HYUNDAI CRETA 1.6 SX PLUS PETROL AT,HYUNDAI,2016,"10,00,000",8000 kms,Petrol,Automatic
MARUTI SUZUKI ERTIGA VDI,MARUTI,2012,"5,80,000",51000 kms,Diesel,Automatic
MARUTI SUZUKI MARUTI 800 AC,MARUTI,2001,"1,40,000",75000 kms,Petrol,Automatic
HYUNDAI GRAND I10 MAGNA 1.2 KAPPA VTVT,HYUNDAI,2015,"4,40,000",53000 kms,Petrol,Automatic
FORD FIESTA SXI 1.6 ABS,FORD,2009,"3,50,000",56400 kms,Petrol,Automatic
