name,company,year,Price,kms_driven,fuel_type,transmission
Maruti Suzuki Wagon R LX BS IV,Maruti,2013,"1,85,000","29,685 kms",Petrol,Automatic
Hyundai Eon,Hyundai,2013,"2,90,000","25,000 kms",Petrol,Automatic
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,"9,30,000","24,530 kms",Diesel,Automatic
Mahindra Scorpio SLE BS IV,Mahindra,2012,"6,70,000","19,000 kms",Diesel,Automatic
Skoda Fabia Classic 1.2 MPI,Skoda,2010,"2,82,000","60,000 kms",Petrol,Automatic
I want to sell my car Tata Zest,I,2017,Ask For Price,,,Automatic
Renault Duster 110PS Diesel RxZ,Renault,2012,"6,01,000","35,000 kms",Diesel,Automatic
Mini Cooper S 1.6,Mini,2013,"19,91,111","13,000 kms",Petrol,Automatic
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,"2,59,500","38,200 kms",Diesel,Automatic
Honda Amaze,Honda,2015,"4,44,999","22,000 kms",Petrol,Automatic
Mini Cooper S 1.6,Mini,2013,"19,91,111","13,500 kms",Petrol,Automatic
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,"7,99,000","50,000 kms",Diesel,Automatic
Ford EcoSport,Ford,2017,"5,89,999","39,000 kms",Petrol,Automatic
I want to sell my car Tata Zest,I,2017,Ask For Price,,,Automatic
Hyundai i20 Magna,Hyundai,2009,"2,95,000","32,000 kms",Petrol,Automatic
Hyundai Verna Transform SX VTVT,Hyundai,2008,"2,60,000","45,000 kms",Petrol,Automatic
Honda City 1.5 EXi New,Honda,2005,"1,90,000","50,000 kms",Petrol,Automatic
Skoda Fabia 1.2L Diesel Elegance,Skoda,2011,"2,55,000","45,863 kms",Diesel,Automatic
Maruti Suzuki A Star Lxi,Maruti,2011,"2,89,500","12,500 kms",Petrol,Automatic
Ford Figo Diesel EXI Option,Ford,2012,"3,10,000","35,000 kms",Diesel,Automatic
Chevrolet Beat LT Diesel,Chevrolet,2012,"2,35,000","45,000 kms",Diesel,Automatic
Mahindra XUV500 W8 AWD 2013,Mahindra,2013,"8,01,000","38,000 kms",Diesel,Automatic
Hyundai Verna Fluidic New,Hyundai,2015,"6,25,000","35,000 kms",Diesel,Automatic
Maruti Suzuki Ertiga ZXI Plus,Maruti,2016,"7,35,000","29,000 kms",Petrol,Automatic
Maruti Suzuki Ertiga Vxi,Maruti,2016,"6,75,000","29,000 kms",Petrol,Automatic
Maruti Suzuki Alto LXi BS III,Maruti,2012,"2,55,000","14,000 kms",Petrol,Automatic
Honda Amaze 1.2 S i VTEC,Honda,2014,"4,25,000","42,000 kms",Petrol,Automatic
Ford Figo Diesel EXI,Ford,2014,"2,95,000","50,000 kms",Diesel,Automatic
Maruti Suzuki Ertiga ZXi,Maruti,2014,"6,69,999","45,000 kms",Petrol,Automatic
Maruti Suzuki Ritz VXI,Maruti,2014,"3,99,999","19,000 kms",Petrol,Automatic
Maruti Suzuki Ritz LDi,Maruti,2013,"4,99,999","33,000 kms",Diesel,Automatic
Maruti Suzuki Dzire VDI,Maruti,2015,"5,50,000","1,04,000 kms",Diesel,Automatic
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2011,"4,50,000","33,333 kms",Diesel,Automatic
Maruti Suzuki Alto K10 VXi AMT,Maruti,2017,"4,50,000","5,600 kms",Petrol,Automatic
Maruti Suzuki Swift,Maruti,2007,"2,25,000","70,000 kms",Petrol,Automatic
Honda Amaze 1.5 S i DTEC,Honda,2013,"3,99,000","45,000 kms",Diesel,Automatic
Chevrolet Beat,Chevrolet,2015,"2,50,000","30,000 kms",Petrol,Automatic
Honda City 1.5 V MT,Honda,2010,"3,85,000","35,000 kms",Petrol,Automatic
Hyundai i20 Asta 1.2,Hyundai,2009,"3,10,000","65,480 kms",Petrol,Automatic
Tata Indica V2 eLS,Tata,2006,"1,90,000","20,000 kms",Petrol,Automatic
Hindustan Motors Ambassador,Hindustan,2000,"1,70,000","2,00,000 kms",Diesel,Automatic
Toyota Corolla Altis 1.8 J,Toyota,2012,"4,49,999","59,000 kms",Petrol,Automatic
Volkswagen Jetta Highline TDI AT,Volkswagen,2014,"8,49,999","46,000 kms",Diesel,Automatic
Volkswagen Polo,Volkswagen,2014,"3,74,999","32,000 kms",Petrol,Automatic
Renault Duster,Renault,2014,"5,49,999","50,000 kms",Diesel,Automatic
Nissan Sunny,Nissan,2012,"3,24,999","45,000 kms",Petrol,Automatic
Renault Kwid,Renault,2016,"3,44,999","11,000 kms",Petrol,Automatic
Ford EcoSport,Ford,2017,"5,89,999","39,000 kms",Petrol,Automatic
Mahindra Scorpio VLX Airbag,Mahindra,2011,"5,99,999","66,000 kms",Diesel,Automatic
Chevrolet Spark LT 1.0,Chevrolet,2010,"1,85,000","45,000 kms",Petrol,Automatic
Maruti Suzuki Swift RS VDI,Maruti,2010,"2,89,500","38,500 kms",Diesel,Automatic
Maruti Suzuki Swift RS VDI,Maruti,2010,"2,59,500","43,200 kms",Diesel,Automatic
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2014,"4,70,000","60,000 kms",Diesel,Automatic
Chevrolet Beat LT Opt Diesel,Chevrolet,2011,"2,50,000","40,000 kms",Diesel,Automatic
Chevrolet Beat LT Diesel,Chevrolet,2012,"1,98,500","38,000 kms",Diesel,Automatic
Tata Indigo CS,Tata,2011,"1,85,000","11,400 kms",Diesel,Automatic
Honda City 1.5 V MT,Honda,2014,"6,49,000","39,000 kms",Petrol,Automatic
Hyundai Eon Era Plus,Hyundai,2013,"2,85,000","27,000 kms",Petrol,Automatic
Mahindra XUV500,Mahindra,2014,"7,99,999","52,000 kms",Diesel,Automatic
Ford Fiesta,Ford,2011,"3,74,999","55,000 kms",Diesel,Automatic
Honda City,Honda,2015,"6,99,999","30,000 kms",Diesel,Automatic
Honda City,Honda,2014,"6,44,999","45,000 kms",Diesel,Automatic
Tata Indigo eCS LX TDI BS III,Tata,2016,"4,20,000","1,75,430 kms",Diesel,Automatic
"Commercial , DZire LDI, 2016, for sale",Commercial,...,Ask For Price,,,Automatic
Fiat Petra ELX 1.2 PS,Fiat,2008,"1,75,000","65,000 kms",Petrol,Automatic
Mini Cooper S 1.6,Mini,2013,"19,91,111","13,000 kms",Petrol,Automatic
Maruti Suzuki Ciaz VXi Plus,Maruti,2016,"8,00,000","3,350 kms",Petrol,Automatic
Honda City,Honda,2015,"5,48,999","54,000 kms",Petrol,Automatic
"Tata indigo ecs LX, 201",Tata,150k,"2,50,000",,,Automatic
Mahindra Scorpio SLE BS IV,Mahindra,2012,"6,65,000","62,000 kms",Diesel,Automatic
Maruti Suzuki Alto K10 VXi AMT,Maruti,2011,"2,45,000","41,000 kms",Petrol,Automatic
Tata Nano Cx BSIV,Tata,2013,"1,40,000","2,200 kms",Petrol,Automatic
Maruti Suzuki Wagon R LXi BS III,Maruti,2009,"2,35,000","45,000 kms",Petrol,Automatic
Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,"3,85,000","65,000 kms",Diesel,Automatic
Maruti Suzuki Wagon R LXi BS III,Maruti,2010,"2,45,000","54,870 kms",Petrol,Automatic
Volkswagen Passat Diesel Comfortline AT,Volkswagen,2009,"5,50,000","97,000 kms",Diesel,Automatic
Mahindra Quanto C8,Mahindra,2013,"4,75,000","20,000 kms",Diesel,Automatic
Hyundai i20 Active 1.2 SX,Hyundai,2015,"6,00,000","18,000 kms",Petrol,Automatic
Mahindra Jeep MM 550 XDB,Mahindra,2019,"4,90,000",60 kms,Diesel,Automatic
Mahindra Bolero SLE BS IV,Mahindra,2013,"4,30,000","80,200 kms",Diesel,Automatic
Maruti Suzuki SX4,Maruti,2012,"3,65,000","46,000 kms",Diesel,Automatic
Maruti Suzuki Alto 800,Maruti,2015,"3,19,000","5,000 kms",Petrol,Automatic
Toyota Etios,Toyota,2011,"3,75,000","36,000 kms",Diesel,Automatic
Honda City ZX VTEC,Honda,2008,"2,10,000","45,000 kms",Petrol,Automatic
Honda City VX O MT Diesel,Honda,2016,"6,19,000","52,000 kms",Diesel,Automatic
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,"15,75,000","47,000 kms",Diesel,Automatic
Mercedes Benz GLA Class 200 CDI Sport,Mercedes,2015,"21,00,000","20,000 kms",Diesel,Automatic
Renault Kwid RXT,Renault,2017,"4,40,000","5,000 kms",Petrol,Automatic
Mercedes Benz B Class B180 Sports,Mercedes,2014,"14,00,000","31,000 kms",Petrol,Automatic
Tata Indigo eCS LX TDI BS III,Tata,2016,"4,20,000","1,75,430 kms",Diesel,Automatic
Honda Jazz VX MT,Honda,2016,"5,50,000","41,000 kms",Petrol,Automatic
Honda Amaze,Honda,2013,"3,84,999","46,000 kms",Diesel,Automatic
Honda City,Honda,2015,"6,99,999","39,000 kms",Diesel,Automatic
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,"7,99,000","47,000 kms",Petrol,Automatic
Mahindra Scorpio S4,Mahindra,2015,"9,55,000","30,000 kms",Diesel,Automatic
Mini Cooper S,Mini,2013,"19,91,111","13,000 kms",Petrol,Automatic
Chevrolet Tavera Neo,Chevrolet,2013,"4,75,000","55,000 kms",Diesel,Automatic
Hyundai Eon Sportz,Hyundai,2012,"2,78,000","30,000 kms",Petrol,Automatic
Maruti Suzuki Wagon R 1.0,Maruti,2003,"1,90,000","45,000 kms",Petrol,Automatic
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,"3,55,000","9,300 kms",Petrol,Automatic
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,"4,29,500","36,200 kms",Diesel,Automatic
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,"3,51,111","55,000 kms",Petrol,Automatic
Maruti Suzuki Esteem LXi BS III,Maruti,2007,"1,69,999","51,000 kms",Petrol,Automatic
Maruti Suzuki Dzire,Maruti,2009,"3,20,000","46,000 kms",Petrol,Automatic
Maruti Suzuki SX4 ZXI MT,Maruti,2010,"3,49,999","36,000 kms",Petrol,Automatic
Mini Cooper S 1.6,Mini,2013,"18,91,111","13,500 kms",Petrol,Automatic
Renault Duster 85 PS RxE Diesel,Renault,2013,"5,89,999","27,000 kms",Diesel,Automatic
Renault Duster 85 PS RxL Diesel,Renault,2015,"6,49,999","19,000 kms",Diesel,Automatic
Renault Kwid RXT Opt,Renault,2018,"4,25,000","15,000 kms",Petrol,Automatic
Renault Kwid 1.0 RXT AMT,Renault,2018,"4,49,999","10,000 kms",Petrol,Automatic
Renault Scala RxL Diesel,Renault,2014,"4,49,999","49,000 kms",Diesel,Automatic
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,"3,25,000","45,000 kms",Petrol,Automatic
Tata Indigo eCS LX TDI BS III,Tata,2016,"4,20,000","1,75,430 kms",Diesel,Automatic
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,"6,40,000","38,000 kms",Diesel,Automatic
Chevrolet Beat LS Petrol,Chevrolet,2010,"1,80,000","56,000 kms",Petrol,Automatic
Fiat Petra ELX 1.2 PS,Fiat,2008,"1,75,000","65,000 kms",Petrol,Automatic
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,"2,59,500","38,200 kms",Diesel,Automatic
Hyundai Accent GLX,Hyundai,2006,"1,80,000","56,000 kms",Petrol,Automatic
Maruti Suzuki Swift LDi,Maruti,2010,Ask For Price,"52,000 kms",Diesel,Automatic
Mini Cooper S 1.6,Mini,2013,"18,91,111","13,000 kms",Petrol,Automatic
Tata Indica V2 Xeta e GLE,Tata,2008,"2,50,000","11,000 kms",Petrol,Automatic
Tata Indigo CS LS DiCOR,Tata,2009,"1,72,500","46,000 kms",Diesel,Automatic
Mahindra Scorpio VLX Special Edition BS III,Mahindra,2004,"3,30,000","1,60,000 kms",Diesel,Automatic
Honda Accord,Honda,2009,"2,75,000","58,559 kms",Petrol,Automatic
Chevrolet Tavera Neo,Chevrolet,2013,"4,75,000","55,000 kms",Diesel,Automatic
Maruti Suzuki Ertiga,Maruti,2015,"6,24,999","50,000 kms",Diesel,Automatic
Maruti Suzuki Dzire,Maruti,2012,"3,99,999","40,000 kms",Petrol,Automatic
Mahindra Scorpio 2.6 CRDe,Mahindra,2007,"3,20,000","1,70,000 kms",Diesel,Automatic
Honda City,Honda,2015,"7,44,999","39,000 kms",Petrol,Automatic
Toyota Corolla Altis,Toyota,2009,"2,99,999","65,000 kms",Petrol,Automatic
Skoda Laura,Skoda,2012,"4,49,999","44,000 kms",Diesel,Automatic
Maruti Suzuki Ertiga,Maruti,2018,"8,99,999","9,000 kms",Diesel,Automatic
Mahindra XUV500,Mahindra,2014,"7,49,999","47,000 kms",Diesel,Automatic
Maruti Suzuki Vitara Brezza,Maruti,2016,"7,89,999","29,000 kms",Diesel,Automatic
Mahindra Scorpio,Mahindra,2015,"10,44,999","45,000 kms",Diesel,Automatic
Mahindra XUV500,Mahindra,2013,"7,89,999","80,000 kms",Diesel,Automatic
Skoda Laura,Skoda,2013,"4,74,999","50,000 kms",Diesel,Automatic
Hyundai Elite i20,Hyundai,2016,"6,49,999","9,000 kms",Petrol,Automatic
Chevrolet Sail UVA Petrol LT ABS,Chevrolet,2013,"3,10,000","60,000 kms",Petrol,Automatic
Hyundai Verna Fluidic 1.6 VTVT SX,Hyundai,2013,"5,01,000","45,000 kms",Diesel,Automatic
Hyundai Elantra SX,Hyundai,2013,"7,00,000","20,000 kms",Petrol,Automatic
Mahindra KUV100 K8 D 6 STR,Mahindra,2016,"5,00,000","20,000 kms",Diesel,Automatic
Mahindra Quanto C8,Mahindra,2013,"4,75,000","20,000 kms",Diesel,Automatic
Hyundai i20 Active 1.2 SX,Hyundai,2015,"6,00,000","18,000 kms",Petrol,Automatic
Hyundai Grand i10,Hyundai,2017,"6,24,999","6,821 kms",Petrol,Automatic
Hyundai Eon,Hyundai,2014,"2,74,999","14,000 kms",Petrol,Automatic
Hyundai i20 Active,Hyundai,2015,"6,74,999","35,000 kms",Diesel,Automatic
Toyota Etios Liva,Toyota,2011,"3,39,999","41,000 kms",Petrol,Automatic
Hyundai Verna,Hyundai,2014,"5,89,999","44,000 kms",Diesel,Automatic
Toyota Fortuner,Toyota,2011,"11,74,999","52,000 kms",Diesel,Automatic
Mahindra Bolero Power Plus SLE,Mahindra,2018,"7,99,000","1,800 kms",Diesel,Automatic
Mahindra XUV500,Mahindra,2015,"11,00,000","15,000 kms",Diesel,Automatic
Chevrolet Spark LT 1.0 Airbag,Chevrolet,2009,"2,10,000","44,000 kms",Petrol,Automatic
Renault Duster 110PS Diesel RxZ,Renault,2012,"6,01,000","35,000 kms",Diesel,Automatic
Tata Indigo eCS VX CR4 BS IV,Tata,2014,"1,50,000","40,000 kms",Diesel,Automatic
Mahindra Bolero SLE BS IV,Mahindra,2013,"4,30,000","80,200 kms",Diesel,Automatic
Skoda Rapid Elegance 1.6 TDI CR MT,Skoda,2013,"4,40,000","48,000 kms",Diesel,Automatic
Maruti Suzuki Alto K10 VXi AT,Maruti,2015,"3,65,000","12,000 kms",Petrol,Automatic
Maruti Suzuki Zen LXi BS III,Maruti,2003,"1,85,000","69,900 kms",Petrol,Automatic
Hyundai i10 Magna 1.2,Hyundai,2011,"2,75,000","45,000 kms",Petrol,Automatic
Maruti Suzuki Swift Dzire Tour LDi,Maruti,2016,"4,50,000","1,66,000 kms",Diesel,Automatic
Mahindra Jeep CL550 MDI,Mahindra,2018,"4,85,000",588 kms,Diesel,Automatic
Chevrolet Beat Diesel,Chevrolet,2017,"2,50,000","62,000 kms",Diesel,Automatic
Maruti Suzuki Swift Dzire car,Maruti,sale,"4,00,000",,,Automatic
Toyota Innova 2.5 E MS 7 STR BS IV,Toyota,2012,"8,70,000",0 kms,Diesel,Automatic
Maruti Suzuki Maruti 800 Std â€“ Befo,Maruti,1995,"1,30,000","55,000 kms",Petrol,Automatic
Volkswagen Polo,Volkswagen,2015,"4,30,000","38,000 kms",Diesel,Automatic
Hyundai Elite i20 Asta 1.4 CRDI,Hyundai,2015,"5,50,000","20,000 kms",Diesel,Automatic
Maruti Suzuki Swift Dzire Tour (Gat,Maruti,ara),"4,00,000",,,Automatic
Tata Indigo LX TDI BS III,Tata,2016,"2,30,000","1,04,000 kms",Diesel,Automatic
Mercedes Benz C Class 200 CDI Classic,Mercedes,2002,"4,99,000","41,000 kms",Petrol,Automatic
URJE,URJENT,SELL,"2,80,000",,,Automatic
Hyundai Santro Xing GLS,Hyundai,2006,"1,75,000","46,000 kms",Petrol,Automatic
Hyundai Sonata Transform 2.4 GDi MT,Hyundai,2017,"2,90,000","36,469 kms",Diesel,Automatic
Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011,"3,45,000","65,000 kms",Diesel,Automatic
Maruti Suzuki Alto LXi BS III,Maruti,2011,"2,55,000","32,000 kms",Petrol,Automatic
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017,"5,50,000","15,141 kms",Petrol,Automatic
Mahindra Scorpio W Turbo 2.6DX 9 Seater,Mahindra,2012,"2,65,000","65,000 kms",Diesel,Automatic
Maruti Suzuki Alto K10 VXi,Maruti,2014,"3,70,000","22,000 kms",Petrol,Automatic
Mahindra XUV500 W8,Mahindra,2012,"6,60,000","1,00,000 kms",Diesel,Automatic
Hyundai i20 Magna O 1.2,Hyundai,2013,"4,10,000","35,000 kms",Petrol,Automatic
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014,"4,40,000","35,000 kms",Petrol,Automatic
Mahindra TUV300 T4 Plus,Mahindra,2017,"7,10,000","68,000 kms",Diesel,Automatic
Mahindra TUV300 T8,Mahindra,2018,"11,00,000","4,500 kms",Diesel,Automatic
Nissan X Trail Select Variant,Nissan,2019,"12,00,000",300 kms,Diesel,Automatic
Ford Ikon 1.3 CLXi NXt Finesse,Ford,2001,"1,45,000","65,000 kms",Petrol,Automatic
Tata Manza ELAN Quadrajet,Tata,2010,"2,55,555","1,11,111 kms",Petrol,Automatic
Mahindra xyl,Mahindra,2 bs,"4,50,000",,,Automatic
Chevrolet Beat LS Diesel,Chevrolet,2016,"3,10,000","22,000 kms",Diesel,Automatic
Tata Indigo LS,Tata,2016,"2,25,000","70,000 kms",Diesel,Automatic
Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2015,"6,50,000","34,000 kms",Diesel,Automatic
Used Commercial Maruti Omn,Used,arry,"2,50,000",,,Automatic
Honda Amaze 1.5 E i DTEC,Honda,2016,"3,40,000","1,60,000 kms",Diesel,Automatic
BMW 5 Series 520d Sedan,BMW,2011,"12,99,000","49,000 kms",Diesel,Automatic
Audi Q3 2.0 TDI quattro Premium,Audi,2013,"14,99,000","37,000 kms",Diesel,Automatic
Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,2011,Ask For Price,"16,000 kms",Petrol,Automatic
Ford Figo Duratorq Diesel Titanium 1.4,Ford,2012,"3,50,000","99,000 kms",Diesel,Automatic
Mahindra Logan Diesel 1.5 DLS,Mahindra,2009,"2,30,000","66,000 kms",Petrol,Automatic
Mahindra TUV300 T4 Plus,Mahindra,2016,"6,40,000","35,000 kms",Diesel,Automatic
Hyundai Elite i20 Magna 1.2,Hyundai,2015,"5,05,000","28,000 kms",Petrol,Automatic
Honda City SV,Honda,2017,"7,60,000","4,000 kms",Petrol,Automatic
Ford Figo Petrol LXI,Ford,2011,"2,75,000","75,000 kms",Petrol,Automatic
Honda City,Honda,2017,"8,50,000","3,000 kms",Petrol,Automatic
Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,"1,90,000","50,000 kms",Petrol,Automatic
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,"15,40,000","43,222 kms",Petrol,Automatic
Toyota Corolla H2,Toyota,2003,"2,50,000","1,00,000 kms",Petrol,Automatic
Tata Indigo CS eLS BS IV,Tata,2015,"2,23,000","1,00,000 kms",Diesel,Automatic
Mahindra Scorpio S10,Mahindra,2015,"9,00,000","97,200 kms",Diesel,Automatic
Honda City,Honda,2015,"5,99,999","55,000 kms",Petrol,Automatic
Maruti Suzuki Baleno Delta 1.2,Maruti,2016,"5,98,000","22,000 kms",Petrol,Automatic
Maruti Suzuki Dzire LDI,Maruti,2017,"5,88,000","80,000 kms",Diesel,Automatic
Toyota Corolla Altis GL Petrol,Toyota,2010,"3,20,000","58,000 kms",Petrol,Automatic
Toyota Fortuner 3.0 4x2 MT,Toyota,2015,"15,25,000","1,20,000 kms",Diesel,Automatic
Tata Tigor Revotron XZ,Tata,2019,"7,50,000",100 kms,Diesel,Automatic
Maruti Suzuki Ertiga Vxi,Maruti,2015,"6,50,000","75,000 kms",Petrol,Automatic
Honda Mobilio S i DTEC,Honda,2014,"4,99,000","44,000 kms",Diesel,Automatic
Maruti Suzuki Vitara Brezza,Maruti,2017,"8,25,000","36,000 kms",Diesel,Automatic
Maruti Suzuki Swift VXI BSIII,Maruti,2007,"2,30,000","62,000 kms",Petrol,Automatic
Maruti Suzuki Omni Select Variant,Maruti,2014,"2,90,000","6,020 kms",Petrol,Automatic
Tata Indica,Tata,2005,"1,80,000","42,000 kms",Petrol,Automatic
Maruti Suzuki Zen Estilo,Maruti,2010,"2,49,000","35,000 kms",Petrol,Automatic
Maruti Suzuki Wagon R,Maruti,2007,"2,20,000","7,000 kms",Petrol,Automatic
Hyundai Xcent Base 1.1 CRDi,Hyundai,2015,Ask For Price,"1,80,000 kms",Diesel,Automatic
Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,2008,"2,35,000","23,000 kms",Petrol,Automatic
Maruti Suzuki Alto LXi BS III,Maruti,2010,"1,99,000","22,134 kms",Petrol,Automatic
Tata Nano Lx BSIV,Tata,2010,"1,52,000","9,000 kms",Petrol,Automatic
Hyundai Xcent S 1.2,Hyundai,2015,Ask For Price,"35,000 kms",Petrol,Automatic
Honda City 1.5 S MT,Honda,2014,"5,99,000","22,000 kms",Petrol,Automatic
Maruti Suzuki Ritz GENUS VXI,Maruti,2010,"2,49,000","40,000 kms",Petrol,Automatic
Hyundai Eon D Lite Plus,Hyundai,2016,"2,20,000","87,000 kms",Petrol,Automatic
Maruti Suzuki Wagon R VXI BS IV,Maruti,2017,"4,75,000","23,000 kms",Petrol,Automatic
Maruti Suzuki Estilo VXi ABS BS IV,Maruti,2013,"2,80,000","65,000 kms",Petrol,Automatic
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,"3,78,000","39,000 kms",Petrol,Automatic
Hyundai Creta 1.6 SX Plus Petrol AT,Hyundai,2016,"10,00,000","8,000 kms",Petrol,Automatic
Maruti Suzuki Ertiga VDi,Maruti,2012,"5,80,000","51,000 kms",Diesel,Automatic
Maruti Suzuki Maruti 800 AC,Maruti,2001,"1,40,000","75,000 kms",Petrol,Automatic
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2015,"4,40,000","53,000 kms",Petrol,Automatic
Ford Fiesta SXi 1.6 ABS,Ford,2009,"3,50,000","56,400 kms",Petrol,Automatic
Hyundai Verna Fluidic New,Hyundai,2012,"4,50,000","10,000 kms",Diesel,Automatic
Maruti Suzuki Estilo LX BS IV,Maruti,2007,"2,15,000","36,000 kms",Petrol,Automatic
Maruti Suzuki Wagon R LXi BS III,Maruti,2003,"2,30,000","1,33,000 kms",Petrol,Automatic
Maruti Suzuki Wagon R,Maruti,2009,"2,60,000","35,000 kms",Petrol,Automatic
Maruti Suzuki Baleno Sigma 1.2,Maruti,2016,"5,25,000","40,000 kms",Petrol,Automatic
Maruti Suzuki Swift GLAM,Maruti,2009,"2,50,000","45,000 kms",Petrol,Automatic
Hyundai Santro,Hyundai,2000,"1,51,999","88,000 kms",Petrol,Automatic
Chevrolet Beat PS Diesel,Chevrolet,2012,"3,15,000","65,422 kms",Diesel,Automatic
Maruti Suzuki Dzire ZXI,Maruti,2013,"4,80,000","35,000 kms",Petrol,Automatic
Tata Indica V2 DLG,Tata,2005,"1,35,000","1,50,000 kms",Diesel,Automatic
Hyundai i20 Asta 1.2,Hyundai,2010,"4,00,000","10,750 kms",Petrol,Automatic
Tata Nano,Tata,2013,60000,"6,800 kms",Petrol,Manual
Hyundai Verna Fluidic New,Hyundai,2015,"5,30,000","73,000 kms",Diesel,Automatic
Maruti Suzuki Swift Dzire VDi,Maruti,2011,"2,40,000","65,000 kms",Diesel,Automatic
Mahindra XUV500 W10,Mahindra,2018,"12,99,000","40,000 kms",Diesel,Automatic
Hyundai Accent GLE,Hyundai,2006,"1,90,000","55,000 kms",Petrol,Automatic
Datsun Go Plus T O,Datsun,2016,Ask For Price,5 kms,Petrol,Automatic
Chevrolet Spark 1.0 LT,Chevrolet,2011,"2,00,000","27,000 kms",Petrol,Automatic
Toyota Etios Liva GD,Toyota,2012,"4,80,000","20,000 kms",Diesel,Automatic
