,name,company,year,Price,kms_driven,fuel_type,transmission
44,Maruti Suzuki A,Maruti,2011,289500,12500,Petrol,Automatic
45,Ford Figo Diesel,Ford,2012,310000,35000,Diesel,Automatic
46,Chevrolet Beat LT,Chevrolet,2012,235000,45000,Diesel,Automatic
47,Mahindra XUV500 W8,Mahindra,2013,801000,38000,Diesel,Automatic
48,Hyundai Verna Fluidic,Hyundai,2015,625000,35000,Diesel,Automatic
49,Maruti Suzuki Ertiga,Maruti,2016,735000,29000,Petrol,Automatic
50,Maruti Suzuki Ertiga,Maruti,2016,675000,29000,Petrol,Automatic
51,Maruti Suzuki Alto,Maruti,2012,255000,14000,Petrol,Automatic
52,Honda Amaze 1.2,Honda,2014,425000,42000,Petrol,Automatic
53,Ford Figo Diesel,Ford,2014,295000,50000,Diesel,Automatic
54,Maruti Suzuki Ertiga,Maruti,2014,669999,45000,Petrol,Automatic
55,Maruti Suzuki Ritz,Maruti,2014,399999,19000,Petrol,Automatic
56,Maruti Suzuki Ritz,Maruti,2013,499999,33000,Diesel,Automatic
57,Maruti Suzuki Dzire,Maruti,2015,550000,104000,Diesel,Automatic
58,Hyundai i20 Sportz,Hyundai,2011,450000,33333,Diesel,Automatic
59,Maruti Suzuki Alto,Maruti,2017,450000,5600,Petrol,Automatic
60,Maruti Suzuki Swift,Maruti,2007,225000,70000,Petrol,Automatic
61,Honda Amaze 1.5,Honda,2013,399000,45000,Diesel,Automatic
62,Chevrolet Beat,Chevrolet,2015,250000,30000,Petrol,Automatic
63,Honda City 1.5,Honda,2010,385000,35000,Petrol,Automatic
64,Hyundai i20 Asta,Hyundai,2009,310000,65480,Petrol,Automatic
65,Tata Indica V2,Tata,2006,190000,20000,Petrol,Automatic
66,Hindustan Motors Ambassador,Hindustan,2000,170000,200000,Diesel,Automatic
67,Toyota Corolla Altis,Toyota,2012,449999,59000,Petrol,Automatic
68,Volkswagen Jetta Highline,Volkswagen,2014,849999,46000,Diesel,Automatic
69,Volkswagen Polo,Volkswagen,2014,374999,32000,Petrol,Automatic
70,Renault Duster,Renault,2014,549999,50000,Diesel,Automatic
71,Nissan Sunny,Nissan,2012,324999,45000,Petrol,Automatic
72,Renault Kwid,Renault,2016,344999,11000,Petrol,Automatic
73,Ford EcoSport,Ford,2017,589999,39000,Petrol,Automatic
74,Mahindra Scorpio VLX,Mahindra,2011,599999,66000,Diesel,Automatic
75,Chevrolet Spark LT,Chevrolet,2010,185000,45000,Petrol,Automatic
76,Maruti Suzuki Swift,Maruti,2010,289500,38500,Diesel,Automatic
77,Maruti Suzuki Swift,Maruti,2010,259500,43200,Diesel,Automatic
78,Hyundai i20 Sportz,Hyundai,2014,470000,60000,Diesel,Automatic
79,Chevrolet Beat LT,Chevrolet,2011,250000,40000,Diesel,Automatic
80,Chevrolet Beat LT,Chevrolet,2012,198500,38000,Diesel,Automatic
81,Tata Indigo CS,Tata,2011,185000,11400,Diesel,Automatic
82,Honda City 1.5,Honda,2014,649000,39000,Petrol,Automatic
83,Hyundai Eon Era,Hyundai,2013,285000,27000,Petrol,Automatic
84,Mahindra XUV500,Mahindra,2014,799999,52000,Diesel,Automatic
85,Ford Fiesta,Ford,2011,374999,55000,Diesel,Automatic
86,Honda City,Honda,2015,699999,30000,Diesel,Automatic
87,Honda City,Honda,2014,644999,45000,Diesel,Automatic
88,Tata Indigo eCS,Tata,2016,420000,175430,Diesel,Automatic
89,Fiat Petra ELX,Fiat,2008,175000,65000,Petrol,Automatic
90,Mini Cooper S,Mini,2013,1991111,13000,Petrol,Automatic
91,Maruti Suzuki Ciaz,Maruti,2016,800000,3350,Petrol,Automatic
92,Honda City,Honda,2015,548999,54000,Petrol,Automatic
93,Mahindra Scorpio SLE,Mahindra,2012,665000,62000,Diesel,Automatic
94,Maruti Suzuki Alto,Maruti,2011,245000,41000,Petrol,Automatic
95,Tata Nano Cx,Tata,2013,140000,2200,Petrol,Automatic
96,Maruti Suzuki Wagon,Maruti,2009,235000,45000,Petrol,Automatic
97,Tata Sumo Victa,Tata,2012,385000,65000,Diesel,Automatic
98,Maruti Suzuki Wagon,Maruti,2010,245000,54870,Petrol,Automatic
99,Volkswagen Passat Diesel,Volkswagen,2009,550000,97000,Diesel,Automatic
100,Mahindra Quanto C8,Mahindra,2013,475000,20000,Diesel,Automatic
101,Hyundai i20 Active,Hyundai,2015,600000,18000,Petrol,Automatic
102,Mahindra Jeep MM,Mahindra,2019,490000,60,Diesel,Automatic
103,Mahindra Bolero SLE,Mahindra,2013,430000,80200,Diesel,Automatic
104,Maruti Suzuki SX4,Maruti,2012,365000,46000,Diesel,Automatic
105,Maruti Suzuki Alto,Maruti,2015,319000,5000,Petrol,Automatic
106,Toyota Etios,Toyota,2011,375000,36000,Diesel,Automatic
107,Honda City ZX,Honda,2008,210000,45000,Petrol,Automatic
108,Honda City VX,Honda,2016,619000,52000,Diesel,Automatic
109,Mitsubishi Pajero Sport,Mitsubishi,2015,1575000,47000,Diesel,Automatic
110,Mercedes Benz GLA,Mercedes,2015,2100000,20000,Diesel,Automatic
111,Renault Kwid RXT,Renault,2017,440000,5000,Petrol,Automatic
112,Mercedes Benz B,Mercedes,2014,1400000,31000,Petrol,Automatic
113,Tata Indigo eCS,Tata,2016,420000,175430,Diesel,Automatic
114,Honda Jazz VX,Honda,2016,550000,41000,Petrol,Automatic
115,Honda Amaze,Honda,2013,384999,46000,Diesel,Automatic
116,Honda City,Honda,2015,699999,39000,Diesel,Automatic
117,Audi A4 1.8,Audi,2009,799000,47000,Petrol,Automatic
118,Mahindra Scorpio S4,Mahindra,2015,955000,30000,Diesel,Automatic
119,Mini Cooper S,Mini,2013,1991111,13000,Petrol,Automatic
120,Chevrolet Tavera Neo,Chevrolet,2013,475000,55000,Diesel,Automatic
121,Hyundai Eon Sportz,Hyundai,2012,278000,30000,Petrol,Automatic
122,Maruti Suzuki Wagon,Maruti,2003,190000,45000,Petrol,Automatic
123,Maruti Suzuki Eeco,Maruti,2015,355000,9300,Petrol,Automatic
124,Hyundai i20 Asta,Hyundai,2012,429500,36200,Diesel,Automatic
125,Maruti Suzuki Eeco,Maruti,2015,351111,55000,Petrol,Automatic
126,Maruti Suzuki Esteem,Maruti,2007,169999,51000,Petrol,Automatic
127,Maruti Suzuki Dzire,Maruti,2009,320000,46000,Petrol,Automatic
128,Maruti Suzuki SX4,Maruti,2010,349999,36000,Petrol,Automatic
129,Mini Cooper S,Mini,2013,1891111,13500,Petrol,Automatic
130,Renault Duster 85,Renault,2013,589999,27000,Diesel,Automatic
131,Renault Duster 85,Renault,2015,649999,19000,Diesel,Automatic
132,Renault Kwid RXT,Renault,2018,425000,15000,Petrol,Automatic
133,Renault Kwid 1.0,Renault,2018,449999,10000,Petrol,Automatic
134,Renault Scala RxL,Renault,2014,449999,49000,Diesel,Automatic
135,Maruti Suzuki Swift,Maruti,2011,325000,45000,Petrol,Automatic
136,Tata Indigo eCS,Tata,2016,420000,175430,Diesel,Automatic
137,Hyundai Fluidic Verna,Hyundai,2015,640000,38000,Diesel,Automatic
138,Chevrolet Beat LS,Chevrolet,2010,180000,56000,Petrol,Automatic
139,Fiat Petra ELX,Fiat,2008,175000,65000,Petrol,Automatic
140,Skoda Fabia 1.2L,Skoda,2011,259500,38200,Diesel,Automatic
141,Hyundai Accent GLX,Hyundai,2006,180000,56000,Petrol,Automatic
142,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Automatic
143,Tata Indica V2,Tata,2008,250000,11000,Petrol,Automatic
144,Tata Indigo CS,Tata,2009,172500,46000,Diesel,Automatic
145,Mahindra Scorpio VLX,Mahindra,2004,330000,160000,Diesel,Automatic
146,Honda Accord,Honda,2009,275000,58559,Petrol,Automatic
147,Chevrolet Tavera Neo,Chevrolet,2013,475000,55000,Diesel,Automatic
148,Maruti Suzuki Ertiga,Maruti,2015,624999,50000,Diesel,Automatic
149,Maruti Suzuki Dzire,Maruti,2012,399999,40000,Petrol,Automatic
150,Mahindra Scorpio 2.6,Mahindra,2007,320000,170000,Diesel,Automatic
151,Honda City,Honda,2015,744999,39000,Petrol,Automatic
152,Toyota Corolla Altis,Toyota,2009,299999,65000,Petrol,Automatic
153,Skoda Laura,Skoda,2012,449999,44000,Diesel,Automatic
154,Maruti Suzuki Ertiga,Maruti,2018,899999,9000,Diesel,Automatic
155,Mahindra XUV500,Mahindra,2014,749999,47000,Diesel,Automatic
156,Maruti Suzuki Vitara,Maruti,2016,789999,29000,Diesel,Automatic
157,Mahindra Scorpio,Mahindra,2015,1044999,45000,Diesel,Automatic
158,Mahindra XUV500,Mahindra,2013,789999,80000,Diesel,Automatic
159,Skoda Laura,Skoda,2013,474999,50000,Diesel,Automatic
160,Hyundai Elite i20,Hyundai,2016,649999,9000,Petrol,Automatic
161,Chevrolet Sail UVA,Chevrolet,2013,310000,60000,Petrol,Automatic
162,Hyundai Verna Fluidic,Hyundai,2013,501000,45000,Diesel,Automatic
163,Hyundai Elantra SX,Hyundai,2013,700000,20000,Petrol,Automatic
164,Mahindra KUV100 K8,Mahindra,2016,500000,20000,Diesel,Automatic
165,Mahindra Quanto C8,Mahindra,2013,475000,20000,Diesel,Automatic
166,Hyundai i20 Active,Hyundai,2015,600000,18000,Petrol,Automatic
167,Hyundai Grand i10,Hyundai,2017,624999,6821,Petrol,Automatic
168,Hyundai Eon,Hyundai,2014,274999,14000,Petrol,Automatic
169,Hyundai i20 Active,Hyundai,2015,674999,35000,Diesel,Automatic
170,Toyota Etios Liva,Toyota,2011,339999,41000,Petrol,Automatic
171,Hyundai Verna,Hyundai,2014,589999,44000,Diesel,Automatic
172,Toyota Fortuner,Toyota,2011,1174999,52000,Diesel,Automatic
173,Mahindra Bolero Power,Mahindra,2018,799000,1800,Diesel,Automatic
174,Mahindra XUV500,Mahindra,2015,1100000,15000,Diesel,Automatic
175,Chevrolet Spark LT,Chevrolet,2009,210000,44000,Petrol,Automatic
176,Renault Duster 110PS,Renault,2012,601000,35000,Diesel,Automatic
177,Tata Indigo eCS,Tata,2014,150000,40000,Diesel,Automatic
178,Mahindra Bolero SLE,Mahindra,2013,430000,80200,Diesel,Automatic
179,Skoda Rapid Elegance,Skoda,2013,440000,48000,Diesel,Automatic
180,Maruti Suzuki Alto,Maruti,2015,365000,12000,Petrol,Automatic
181,Maruti Suzuki Zen,Maruti,2003,185000,69900,Petrol,Automatic
182,Hyundai i10 Magna,Hyundai,2011,275000,45000,Petrol,Automatic
183,Maruti Suzuki Swift,Maruti,2016,450000,166000,Diesel,Automatic
184,Mahindra Jeep CL550,Mahindra,2018,485000,588,Diesel,Automatic
185,Chevrolet Beat Diesel,Chevrolet,2017,250000,62000,Diesel,Automatic
186,Toyota Innova 2.5,Toyota,2012,870000,0,Diesel,Automatic
187,Maruti Suzuki Maruti,Maruti,1995,130000,55000,Petrol,Automatic
188,Volkswagen Polo,Volkswagen,2015,430000,38000,Diesel,Automatic
189,Hyundai Elite i20,Hyundai,2015,550000,20000,Diesel,Automatic
190,Tata Indigo LX,Tata,2016,230000,104000,Diesel,Automatic
191,Mercedes Benz C,Mercedes,2002,499000,41000,Petrol,Automatic
192,Hyundai Santro Xing,Hyundai,2006,175000,46000,Petrol,Automatic
193,Hyundai Sonata Transform,Hyundai,2017,290000,36469,Diesel,Automatic
194,Volkswagen Vento Konekt,Volkswagen,2011,345000,65000,Diesel,Automatic
195,Maruti Suzuki Alto,Maruti,2011,255000,32000,Petrol,Automatic
196,Hyundai Grand i10,Hyundai,2017,550000,15141,Petrol,Automatic
197,Mahindra Scorpio W,Mahindra,2012,265000,65000,Diesel,Automatic
198,Maruti Suzuki Alto,Maruti,2014,370000,22000,Petrol,Automatic
199,Mahindra XUV500 W8,Mahindra,2012,660000,100000,Diesel,Automatic
200,Hyundai i20 Magna,Hyundai,2013,410000,35000,Petrol,Automatic
201,Hyundai Grand i10,Hyundai,2014,440000,35000,Petrol,Automatic
202,Mahindra TUV300 T4,Mahindra,2017,710000,68000,Diesel,Automatic
203,Mahindra TUV300 T8,Mahindra,2018,1100000,4500,Diesel,Automatic
204,Nissan X Trail,Nissan,2019,1200000,300,Diesel,Automatic
205,Ford Ikon 1.3,Ford,2001,145000,65000,Petrol,Automatic
206,Tata Manza ELAN,Tata,2010,255555,111111,Petrol,Automatic
207,Chevrolet Beat LS,Chevrolet,2016,310000,22000,Diesel,Automatic
208,Tata Indigo LS,Tata,2016,225000,70000,Diesel,Automatic
209,Volkswagen Vento Highline,Volkswagen,2015,650000,34000,Diesel,Automatic
210,Honda Amaze 1.5,Honda,2016,340000,160000,Diesel,Automatic
211,BMW 5 Series,BMW,2011,1299000,49000,Diesel,Automatic
212,Audi Q3 2.0,Audi,2013,1499000,37000,Diesel,Automatic
213,Ford Figo Duratorq,Ford,2012,350000,99000,Diesel,Automatic
214,Mahindra Logan Diesel,Mahindra,2009,230000,66000,Petrol,Automatic
215,Mahindra TUV300 T4,Mahindra,2016,640000,35000,Diesel,Automatic
216,Hyundai Elite i20,Hyundai,2015,505000,28000,Petrol,Automatic
217,Honda City SV,Honda,2017,760000,4000,Petrol,Automatic
218,Ford Figo Petrol,Ford,2011,275000,75000,Petrol,Automatic
219,Honda City,Honda,2017,850000,3000,Petrol,Automatic
220,Maruti Suzuki Versa,Maruti,2004,190000,50000,Petrol,Automatic
221,Mitsubishi Pajero Sport,Mitsubishi,2015,1540000,43222,Petrol,Automatic
222,Toyota Corolla H2,Toyota,2003,250000,100000,Petrol,Automatic
223,Tata Indigo CS,Tata,2015,223000,100000,Diesel,Automatic
224,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Automatic
225,Honda City,Honda,2015,599999,55000,Petrol,Automatic
226,Maruti Suzuki Baleno,Maruti,2016,598000,22000,Petrol,Automatic
227,Maruti Suzuki Dzire,Maruti,2017,588000,80000,Diesel,Automatic
228,Toyota Corolla Altis,Toyota,2010,320000,58000,Petrol,Automatic
229,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel,Automatic
230,Tata Tigor Revotron,Tata,2019,750000,100,Diesel,Automatic
231,Maruti Suzuki Ertiga,Maruti,2015,650000,75000,Petrol,Automatic
232,Honda Mobilio S,Honda,2014,499000,44000,Diesel,Automatic
233,Maruti Suzuki Vitara,Maruti,2017,825000,36000,Diesel,Automatic
234,Maruti Suzuki Swift,Maruti,2007,230000,62000,Petrol,Automatic
235,Maruti Suzuki Omni,Maruti,2014,290000,6020,Petrol,Automatic
236,Tata Indica,Tata,2005,180000,42000,Petrol,Automatic
237,Maruti Suzuki Zen,Maruti,2010,249000,35000,Petrol,Automatic
238,Maruti Suzuki Wagon,Maruti,2007,220000,7000,Petrol,Automatic
239,Maruti Suzuki Zen,Maruti,2008,235000,23000,Petrol,Automatic
240,Maruti Suzuki Alto,Maruti,2010,199000,22134,Petrol,Automatic
241,Tata Nano Lx,Tata,2010,152000,9000,Petrol,Automatic
242,Honda City 1.5,Honda,2014,599000,22000,Petrol,Automatic
243,Maruti Suzuki Ritz,Maruti,2010,249000,40000,Petrol,Automatic
244,Hyundai Eon D,Hyundai,2016,220000,87000,Petrol,Automatic
245,Maruti Suzuki Wagon,Maruti,2017,475000,23000,Petrol,Automatic
246,Maruti Suzuki Estilo,Maruti,2013,280000,65000,Petrol,Automatic
247,Maruti Suzuki Eeco,Maruti,2015,378000,39000,Petrol,Automatic
248,Hyundai Creta 1.6,Hyundai,2016,1000000,8000,Petrol,Automatic
249,Maruti Suzuki Ertiga,Maruti,2012,580000,51000,Diesel,Automatic
250,Maruti Suzuki Maruti,Maruti,2001,140000,75000,Petrol,Automatic
251,Hyundai Grand i10,Hyundai,2015,440000,53000,Petrol,Automatic
252,Ford Fiesta SXi,Ford,2009,350000,56400,Petrol,Automatic
253,Hyundai Verna Fluidic,Hyundai,2012,450000,10000,Diesel,Automatic
254,Maruti Suzuki Estilo,Maruti,2007,215000,36000,Petrol,Automatic
255,Maruti Suzuki Wagon,Maruti,2003,230000,133000,Petrol,Automatic
256,Maruti Suzuki Wagon,Maruti,2009,260000,35000,Petrol,Automatic
257,Maruti Suzuki Baleno,Maruti,2016,525000,40000,Petrol,Automatic
258,Maruti Suzuki Swift,Maruti,2009,250000,45000,Petrol,Automatic
259,Hyundai Santro,Hyundai,2000,151999,88000,Petrol,Automatic
260,Chevrolet Beat PS,Chevrolet,2012,315000,65422,Diesel,Automatic
261,Maruti Suzuki Dzire,Maruti,2013,480000,35000,Petrol,Automatic
262,Tata Indica V2,Tata,2005,135000,150000,Diesel,Automatic
263,Hyundai i20 Asta,Hyundai,2010,400000,10750,Petrol,Automatic
264,Tata Nano,Tata,2013,60000,6800,Petrol,Manual
265,Hyundai Verna Fluidic,Hyundai,2015,530000,73000,Diesel,Automatic
266,Maruti Suzuki Swift,Maruti,2011,240000,65000,Diesel,Automatic
267,Mahindra XUV500 W10,Mahindra,2018,1299000,40000,Diesel,Automatic
268,Hyundai Accent GLE,Hyundai,2006,190000,55000,Petrol,Automatic
269,Chevrolet Spark 1.0,Chevrolet,2011,200000,27000,Petrol,Automatic
270,Toyota Etios Liva,Toyota,2012,480000,20000,Diesel,Automatic
271,Chevrolet Enjoy,Chevrolet,2014,590000,30201,Diesel,Automatic
272,BMW 5 Series,BMW,2009,750000,37518,Petrol,Automatic
273,Mahindra Jeep MM,Mahindra,2004,524000,383,Diesel,Automatic
274,Chevrolet Cruze LTZ,Chevrolet,2011,450000,35000,Diesel,Automatic
275,Maruti Suzuki Ertiga,Maruti,2013,585000,52500,Diesel,Automatic
276,Maruti Suzuki Omni,Maruti,2012,260000,14000,Petrol,Automatic
277,Tata Zest Quadrajet,Tata,2017,280000,90000,Diesel,Automatic
278,Tata Indigo CS,Tata,2016,250000,104000,Diesel,Automatic
279,Tata Indigo eCS,Tata,2014,195000,195000,Diesel,Automatic
280,Tata Indigo eCS,Tata,2016,330000,104000,Diesel,Automatic
281,Hyundai Eon Magna,Hyundai,2013,285000,23000,Petrol,Automatic
282,Maruti Suzuki Alto,Maruti,2009,190000,62000,Petrol,Automatic
283,Maruti Suzuki Wagon,Maruti,2010,325000,40000,Petrol,Automatic
284,Maruti Suzuki Ertiga,Maruti,2012,489700,39000,Diesel,Automatic
285,Maruti Suzuki Alto,Maruti,2017,460000,9400,Petrol,Automatic
286,Hyundai i10 Magna,Hyundai,2009,270000,75000,Petrol,Automatic
287,Tata Zest XE,Tata,2017,480000,70000,Diesel,Automatic
288,Toyota Corolla Altis,Toyota,2010,285000,55000,Petrol,Automatic
289,Renault Kwid 1.0,Renault,2018,390000,2137,Petrol,Automatic
290,Tata Venture EX,Tata,2013,200000,30000,Diesel,Automatic
291,Maruti Suzuki Omni,Maruti,2012,220000,160000,LPG,Automatic
292,Tata Sumo Gold,Tata,2012,310000,75000,Diesel,Automatic
293,Hyundai Verna 1.6,Hyundai,2018,955000,42000,Diesel,Automatic
294,Mahindra Scorpio 2.6,Mahindra,2007,360000,56000,Diesel,Automatic
295,Maruti Suzuki Swift,Maruti,2011,355000,64000,Petrol,Automatic
296,Hyundai Grand i10,Hyundai,2014,440000,25000,Petrol,Automatic
297,Ford Ikon 1.6,Ford,2003,160000,50000,Petrol,Automatic
298,Nissan Sunny XL,Nissan,2011,330000,52000,Petrol,Automatic
299,Maruti Suzuki Alto,Maruti,2017,370000,21000,Petrol,Automatic
300,Maruti Suzuki Swift,Maruti,2012,380000,48006,Diesel,Automatic
301,Hyundai Elite i20,Hyundai,2015,600000,22000,Petrol,Automatic
302,Volkswagen Polo Trendline,Volkswagen,2015,450000,25000,Diesel,Automatic
303,Mahindra TUV300 T4,Mahindra,2016,640000,29500,Diesel,Automatic
304,Hyundai Santro Xing,Hyundai,2014,279000,57000,Petrol,Automatic
305,Maruti Suzuki Ciaz,Maruti,2016,750000,50000,Petrol,Automatic
306,Hyundai Elantra 1.8,Hyundai,2012,500000,65000,Petrol,Automatic
307,Maruti Suzuki Zen,Maruti,2008,125000,46000,Petrol,Automatic
308,Hyundai Grand i10,Hyundai,2016,380000,27000,Petrol,Automatic
309,Ford EcoSport Trend,Ford,2014,465000,47000,Petrol,Automatic
310,Chevrolet Beat Diesel,Chevrolet,2016,179999,19336,Diesel,Automatic
311,Jaguar XF 2.2,Jaguar,2013,2190000,29000,Diesel,Automatic
312,BMW 3 Series,BMW,2011,1075000,35000,Diesel,Automatic
313,BMW X1 sDrive20d,BMW,2012,1025000,41000,Diesel,Automatic
314,Maruti Suzuki Ertiga,Maruti,2013,475000,48000,Diesel,Automatic
315,Honda City SV,Honda,2014,475000,34000,Diesel,Automatic
316,Honda City 1.5,Honda,2005,120000,68000,Petrol,Automatic
317,Mahindra KUV100,Mahindra,2017,360000,35000,Diesel,Automatic
318,Mahindra XUV500 W8,Mahindra,2015,900000,28600,Diesel,Automatic
319,Tata Sumo Gold,Tata,2014,275000,116000,Diesel,Automatic
320,Mahindra Scorpio 2.6,Mahindra,2004,175000,58000,Diesel,Automatic
321,Mitsubishi Pajero Sport,Mitsubishi,2015,1490000,42590,Diesel,Automatic
322,Volkswagen Jetta Comfortline,Volkswagen,2009,450000,54500,Diesel,Automatic
323,Audi A4 2.0,Audi,2013,1510000,27000,Diesel,Automatic
324,Toyota Corolla Altis,Toyota,2014,790000,29000,Petrol,Automatic
325,Chevrolet Beat LT,Chevrolet,2012,135000,36000,Petrol,Automatic
326,Datsun Redi GO,Datsun,2018,299999,7000,Petrol,Automatic
327,Mahindra Scorpio SLX,Mahindra,2004,175000,60000,Diesel,Automatic
328,Tata Indigo CS,Tata,2017,270000,50000,Diesel,Automatic
329,Honda City ZX,Honda,2006,180000,50000,Petrol,Automatic
330,Ford EcoSport Trend,Ford,2014,400000,16000,Petrol,Automatic
331,Maruti Suzuki Omni,Maruti,2009,85000,56000,Petrol,Automatic
332,Renault Duster RxL,Renault,2015,550000,36000,Petrol,Automatic
333,Maruti Suzuki Baleno,Maruti,2018,690000,1000,Petrol,Automatic
334,Tata Indigo CS,Tata,2016,110000,85000,Diesel,Automatic
335,Mahindra Scorpio LX,Mahindra,2009,320000,95500,Diesel,Automatic
336,Maruti Suzuki Wagon,Maruti,2014,130000,37458,Petrol,Automatic
337,Audi A3 Cabriolet,Audi,2015,3100000,12516,Petrol,Automatic
338,Maruti Suzuki Zen,Maruti,2009,125000,0,Petrol,Automatic
339,Mahindra Scorpio S4,Mahindra,2015,865000,30000,Diesel,Automatic
340,Mahindra Xylo D2,Mahindra,2011,390000,48000,Diesel,Automatic
341,Chevrolet Beat LT,Chevrolet,2015,215000,90000,Diesel,Automatic
342,Mahindra XUV500 W8,Mahindra,2015,899000,53000,Diesel,Automatic
343,Maruti Suzuki Alto,Maruti,2013,240000,20000,Petrol,Automatic
344,Maruti Suzuki Swift,Maruti,2014,260000,120000,Diesel,Automatic
345,Hyundai Santro Xing,Hyundai,2007,115000,46000,Petrol,Automatic
346,Mahindra Xylo D2,Mahindra,2011,390000,56000,Diesel,Automatic
347,Tata Indica V2,Tata,2009,90000,30600,Diesel,Automatic
348,Hyundai Grand i10,Hyundai,2017,424999,2550,Petrol,Automatic
349,Honda City 1.5,Honda,2005,95000,41000,Petrol,Automatic
350,Honda City 1.5,Honda,2005,115000,68000,Petrol,Automatic
351,Maruti Suzuki Wagon,Maruti,2004,53000,69000,Petrol,Automatic
352,Tata Indica eV2,Tata,2012,85000,55000,Diesel,Automatic
353,Hyundai Eon Era,Hyundai,2014,200000,28400,Petrol,Automatic
354,Maruti Suzuki Swift,Maruti,2015,425000,42000,Diesel,Automatic
355,Hyundai Verna 1.6,Hyundai,2012,600000,29000,Diesel,Automatic
356,Tata Tiago Revotron,Tata,2018,430000,3500,Petrol,Automatic
357,Maruti Suzuki Zen,Maruti,2006,71000,32000,Petrol,Automatic
358,Ford EcoSport Titanium,Ford,2014,590000,34000,Diesel,Automatic
359,Ford Fusion 1.4,Ford,2007,125000,85455,Diesel,Automatic
360,Hyundai Santro,Hyundai,2002,60000,47000,Petrol,Automatic
361,Ford Ikon 1.3,Ford,2008,95000,46000,Petrol,Automatic
362,Tata Indica V2,Tata,2012,115000,64000,Diesel,Automatic
363,Hyundai Santro Xing,Hyundai,2007,55000,65000,Petrol,Automatic
364,Hyundai Grand i10,Hyundai,2014,320000,41000,Petrol,Automatic
365,Toyota Corolla,Toyota,2006,160000,40000,Petrol,Automatic
